split,id,score_margin,winner_pose_travel,truth_pose_travel,winner_scale,truth_scale,error_px
bench,3,0.0,0.7280109889280513,0.7280109889280513,9.361836,9.361836,102.15370642330599
bench,13,0.0,0.5,0.5,9.9,9.9,40.08169928338176
bench,19,0.0,0.5,0.5,10.2,10.2,56.211164386804725
bench,21,0.0,1.2362075068531162,1.2362075068531162,10.59759064,10.59759064,6.538836588244231
finfet,25,0.00862342119216919,0.5,0.5,10.2,10.404,878.288511902543
