split,id,score_margin,evidence_margin,truth_rank,refine_shift_px,winner_err_px,winner_pose_travel,truth_pose_travel,winner_scale,truth_scale,error_px
dev,33,0.02125328779220581,0.0147013835306109,8,0.10370222856818843,478.19640558961294,0.2828427124746129,0.2828427124746129,9.760212,9.760212,478.2989831562795
dev2,57,-0.003074467182159424,0.0008166233000603818,1,0.5868848065837566,484.46364624849394,0.5,0.0,9.8,9.8,484.01990767258667
dev2,116,0.007299602031707764,0.0017750411102781527,5,0.35555248780014626,81.71479252170435,0.0,0.0,10.0,10.0,81.53981692447736
