split,id,shipped,oracle,err_oracle
sponsor,0,True,True,0.894427190999865
sponsor,1,True,True,1.8999999999999773
sponsor,2,True,True,0.7280109889280925
sponsor,3,True,True,1.5524174696259965
sponsor,4,False,False,14.408677940741105
sponsor,5,True,True,1.1045361017187225
sponsor,6,True,True,0.6708203932499369
sponsor,7,True,True,0.31622776601680197
sponsor,8,True,True,1.3341664064126342
sponsor,9,True,True,0.8062257748298831
sponsor,10,True,True,1.4317821063276035
sponsor,11,True,True,0.22360679774997896
sponsor,12,True,True,1.0049875621120914
sponsor,13,False,False,14.0
sponsor,14,True,True,0.6082762530298481
sponsor,15,False,False,22.0
sponsor,16,True,True,0.7999999999999972
sponsor,17,True,True,0.8062257748298461
sponsor,18,True,True,0.4242640687119044
sponsor,19,True,True,0.9055385138137215
sponsor,20,False,False,271.7052079000327
sponsor,21,True,True,0.7000000000000455
sponsor,22,True,True,1.170469991071976
sponsor,23,False,False,64.20007788157268
sponsor,24,False,False,42.900116549958206
sponsor,25,True,True,0.22360679774997896
sponsor,26,False,False,20.700241544484438
sponsor,27,True,True,1.1045361017187507
sponsor,28,True,True,1.1000000000000227
sponsor,29,True,True,0.36055512754640207
sponsor,30,False,False,19.420865068271265
sponsor,31,True,False,65.01476755322591
sponsor,32,True,True,1.4035668847617988
sponsor,33,True,True,1.044030650891042
sponsor,34,True,True,1.019803902718566
sponsor,35,True,True,1.1045361017187225
sponsor,36,True,True,0.22360679774997896
sponsor,37,True,False,57.5086949947571
sponsor,38,True,True,1.5132745950421616
sponsor,39,True,True,0.19999999999998863
bench,0,True,True,0.8296840865347037
bench,1,True,False,653.0081214902091
bench,2,True,True,0.5316330314135823
bench,3,True,False,101.28316262066949
bench,4,False,False,63.485144376544795
bench,5,True,False,299.3145031627197
bench,6,True,True,0.3184293153401603
bench,7,True,True,0.6235255879432512
bench,8,False,False,17.52168399558535
bench,9,True,True,0.7206950958019653
bench,10,True,True,0.5567053707348077
bench,11,True,True,0.8292201419146666
bench,12,True,True,0.8609411573690942
bench,13,True,True,1.1070367072021232
bench,14,True,True,0.4069873251109817
bench,15,True,True,0.6318981285183382
bench,16,True,True,1.1155079737845435
bench,17,False,False,381.71779735241734
bench,18,True,True,0.6003496538293238
bench,19,True,True,1.7934961902897504
bench,20,True,True,1.069882312168036
bench,21,False,True,0.575295341682039
bench,22,True,True,0.29040536089404406
bench,23,True,True,0.9699467534566
bench,24,False,False,537.1430196937172
bench,25,True,True,0.9546150893616667
bench,26,True,True,1.0044241699386882
bench,27,True,True,1.0425162220800535
bench,28,True,True,0.9186073759043846
bench,29,True,True,1.4286870686280222
finfet,0,True,True,1.306276867515049
finfet,1,True,False,442.4605782737593
finfet,2,True,True,0.6526694834493334
finfet,3,True,True,0.7627030239647713
finfet,4,True,False,38.35958735627929
finfet,5,True,True,0.2578907689158528
finfet,6,True,True,0.9012142938602116
finfet,7,True,True,0.3388191647531089
finfet,8,True,True,0.539275962104741
finfet,9,True,False,8.518802813321216
finfet,10,True,True,0.547441940685002
finfet,11,True,True,0.714959297577816
finfet,12,True,True,1.1533842430560444
finfet,13,True,True,1.2528453802397124
finfet,14,True,False,176.482558860409
finfet,15,True,True,0.6175109869548824
finfet,16,True,False,75.61574147592803
finfet,17,False,False,51.01591332995971
finfet,18,True,False,136.7952479168028
finfet,19,True,True,1.1212419782459495
finfet,20,True,True,0.7065032370322117
finfet,21,True,True,0.9575683844509078
finfet,22,True,False,105.53918750717342
finfet,23,True,False,617.0244994382923
finfet,24,True,False,22.842459730876715
finfet,25,False,False,937.3702189977055
finfet,26,True,True,0.5871952405776218
finfet,27,True,False,515.8907270518457
finfet,28,False,False,679.7404406335942
finfet,29,True,True,0.947687126263167

# Template built at the generator's recorded scale_ratio/rotation_deg, then a
# single plain correlation over the whole search image. No pose search, no
# refit, no screen - this isolates how much of the failure is geometry.
