split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
dev2,25,0.9707,0.1588,1.1295,0.0000,0.3353,0.9832,2.0492,0.8334,0
dev2,26,0.6400,0.0516,0.6894,0.0000,0.1082,0.6235,2.2452,0.5725,0
dev2,27,1.3673,1.4572,0.3826,0.0000,0.3734,0.0246,-0.0288,1.4327,0
dev2,28,1.3492,2.2277,3.5480,0.0000,0.3289,3.4244,4.3486,1.1971,0
dev2,29,0.5178,0.1574,0.5381,0.0000,0.1897,0.5671,2.5103,0.4930,0
dev2,30,0.7028,0.1348,0.5748,0.0000,0.3228,0.3940,1.0630,0.5264,0
dev2,31,0.5015,0.1908,0.3130,0.0000,0.3453,0.6471,1.1284,0.8379,0
dev2,32,0.5254,0.1619,0.4489,0.0000,0.3581,0.5527,1.3626,0.6972,0
dev2,33,500.3384,500.1781,0.6051,0.0000,0.3606,0.5064,1.7346,500.5763,0
dev2,34,1.0954,0.6882,0.4081,0.0000,0.0000,0.4081,0.8912,1.0954,0
dev2,35,1.0303,0.1451,0.8920,0.0000,0.2088,0.9292,1.3618,1.0553,0
dev2,36,0.4282,0.6561,1.0843,0.0000,0.3821,1.4636,3.0715,0.8083,0
dev2,37,0.8120,0.2045,0.6076,0.0000,0.2209,0.5864,1.2249,0.7794,0
dev2,38,1.0266,0.0621,0.9961,0.0000,0.1421,0.8820,1.5234,0.9173,0
dev2,39,1.6252,0.3433,1.9670,0.0000,0.3202,1.7068,1.8856,1.3636,0
dev2,40,1.0307,0.6362,0.4241,0.0000,0.1825,0.3540,0.6582,0.9900,0
dev2,41,1.6304,0.1108,1.7411,0.0000,0.4866,1.5936,1.7063,1.4870,0
dev2,42,0.7342,0.2589,0.5198,0.0000,0.4492,0.4220,1.0309,0.6759,0
dev2,43,0.8965,0.5265,0.4301,0.0000,0.2600,0.3427,0.6829,0.8686,0
dev2,44,0.6072,0.1619,0.4546,0.0000,0.3401,0.3117,1.0623,0.4629,0
dev2,45,1.5950,0.3747,1.3101,0.0000,0.0000,1.3101,1.3850,1.5950,0
dev2,46,0.5570,0.0834,0.5923,0.0000,0.3007,0.4907,1.4931,0.4213,0
dev2,47,1.6630,1.1848,2.8321,0.0000,0.3466,2.5811,2.8562,1.3977,0
dev2,48,0.3850,0.2678,0.1205,0.0000,0.2927,0.4037,0.7809,0.6712,0
dev2,49,0.2146,0.1586,0.1474,0.0000,0.0000,0.1474,2.6536,0.2146,0
dev2,50,0.6562,0.0767,0.5816,0.0000,0.4438,0.2817,1.3092,0.3247,0
dev2,51,0.4670,0.1554,0.3495,0.0000,0.3041,0.2293,2.0580,0.3831,0
dev2,52,0.6958,0.6954,0.1510,0.0000,0.2581,0.1930,0.3381,0.8884,0
dev2,53,0.4107,0.1328,0.3776,0.0000,0.3467,0.6164,1.1940,0.5721,0
dev2,54,104.7951,105.5593,0.7856,0.0000,0.1970,0.6847,1.1143,104.8746,0
dev2,55,1.1314,0.6959,0.4365,0.0000,0.1044,0.5354,0.6311,1.2313,0
dev2,56,0.3877,0.5145,0.9021,0.0000,0.2402,1.1421,2.7069,0.6276,0
dev2,57,484.4636,484.0199,0.5869,0.0000,0.0283,0.5665,1.3941,484.4606,0
dev2,58,0.7704,0.3050,0.4753,0.0000,0.2441,0.2542,0.5189,0.5591,0
dev2,59,0.8295,0.0712,0.8405,0.0000,0.3178,1.1476,1.8010,1.1300,0
dev2,60,1.1058,0.4457,0.6621,0.0000,0.1664,0.5160,0.9770,0.9536,0
dev2,61,1.3028,0.8909,2.1355,0.0000,0.3513,2.0767,2.4057,1.1961,0
dev2,62,0.9899,0.4464,1.4023,0.0000,0.0000,1.4023,2.3785,0.9899,0
dev2,63,0.9594,0.6912,0.3580,0.0000,0.3818,0.5050,0.6517,1.1961,0
dev2,64,0.4396,0.1720,0.6019,0.0000,0.1530,0.7512,1.8762,0.5915,0
