split,id,sel_err_px,final_err_px,shift_total_px,shift_pose_refine_px,shift_subpixel_px,shift_drift_px,shear_px,predrift_err_px,lost_by_refinement
finfet,12,1.1534,0.1032,1.0633,0.0000,0.3048,1.2381,1.4624,1.3367,0
finfet,13,0.7748,0.3950,0.4437,0.0000,0.3178,0.4658,0.9679,0.8602,0
finfet,14,1.7716,0.1674,1.9387,0.0000,0.2915,1.6485,1.8038,1.4816,0
finfet,15,0.9528,0.2067,1.1515,0.0000,0.2617,0.8911,1.6797,0.6913,0
finfet,16,0.7383,0.1073,0.6580,0.0000,0.2000,0.5182,1.0434,0.6131,0
finfet,17,1.3310,0.2615,1.5906,0.0000,0.4295,1.6242,1.8489,1.3665,0
finfet,18,1.3888,0.5725,1.9568,0.0000,0.3061,1.7520,2.1615,1.1796,0
finfet,19,0.6320,0.2218,0.8538,0.0000,0.3362,0.9256,1.8412,0.7228,0
finfet,20,0.7065,0.0193,0.7244,0.0000,0.2121,0.5587,1.4937,0.5397,0
finfet,21,0.9576,0.7283,1.6669,0.0000,0.2052,1.5201,3.1759,0.7965,0
finfet,22,0.2594,0.1983,0.0659,0.0000,0.0762,0.1286,0.7883,0.3269,0
finfet,23,0.5374,0.0469,0.5091,0.0000,0.2693,0.3142,1.2958,0.3563,0
finfet,24,0.4518,0.1641,0.3124,0.0000,0.2729,0.1971,1.2680,0.3554,0
finfet,25,879.0974,878.2885,0.8660,0.0000,0.4319,1.0947,1.7016,879.0943,0
finfet,26,0.5872,0.3531,0.9311,0.0000,0.1581,1.0797,2.3756,0.7309,0
finfet,27,1.2750,0.1020,1.1735,0.0000,0.1304,1.1763,1.4164,1.2761,0
finfet,28,1.5890,0.4842,2.0516,0.0000,0.4482,1.6824,2.2536,1.2036,0
finfet,29,0.9477,0.9061,1.7701,0.0000,0.0000,1.7701,2.5443,0.9477,0
jitter1.5,0,58.9920,58.9931,1.2108,0.0000,0.3413,0.8704,2.3956,59.0114,0
jitter1.5,1,1.8284,0.6199,1.2147,0.0000,0.1393,1.0837,1.3218,1.6945,0
jitter1.5,2,0.9120,0.5643,0.3723,0.0000,0.3922,0.0211,-0.0425,0.5433,0
jitter1.5,3,0.0316,0.2148,0.2021,0.0000,0.2195,0.0204,0.3007,0.2306,0
jitter1.5,4,0.7346,0.0467,0.7812,0.0000,0.1726,0.7325,1.8917,0.6876,0
jitter1.5,5,1.5961,1.2654,0.3385,0.0000,0.1044,0.3534,0.4526,1.6183,0
jitter1.5,6,1.3515,0.8886,0.4786,0.0000,0.4163,0.0674,0.0771,0.9560,0
jitter1.5,7,0.9110,5.1924,6.0807,0.0000,0.1414,6.0591,8.2959,0.8697,1
jitter1.5,8,189.4342,189.5693,3.7055,0.0000,0.2280,3.5612,3.8698,189.2653,0
jitter1.5,9,0.7238,0.3314,0.3926,0.0000,0.3722,0.7605,0.8928,1.0892,0
jitter1.5,10,0.3595,2.3224,2.6520,0.0000,0.1942,2.4897,7.2856,0.1719,0
jitter1.5,11,0.7534,0.3401,1.0859,0.0000,0.1005,1.0913,1.9800,0.7529,0
jitter1.5,12,0.1452,0.1563,0.0340,0.0000,0.2915,0.2739,0.7445,0.4300,0
jitter1.5,13,1.2592,2.6251,1.3880,0.0000,0.3758,1.7187,-2.5090,0.9065,0
jitter1.5,14,0.3287,2.1369,2.4473,0.0000,0.1265,2.4844,4.2326,0.3475,0
jitter1.5,15,0.3858,0.5537,0.1902,0.0000,0.1432,0.0505,-0.2456,0.5034,0
jitter1.5,16,0.2191,0.0314,0.1940,0.0000,0.0583,0.2416,2.6106,0.2635,0
jitter1.5,17,485.8462,485.0737,0.7739,0.0000,0.3324,0.4546,0.4844,485.5261,0
jitter1.5,18,677.8469,657.2057,34.3574,0.0000,0.4276,33.9373,-41.3748,677.5256,0
jitter1.5,19,0.8913,0.7175,0.4100,0.0000,0.4111,0.0319,-0.0518,0.6863,0
jitter1.5,20,71.3385,71.6693,1.2799,0.0000,0.3511,1.1166,-2.6999,71.6677,0
jitter1.5,21,1.7683,2.7490,4.5136,0.0000,0.1208,4.4033,5.5644,1.6560,0
jitter1.5,22,1.3047,0.6550,1.9590,0.0000,0.0447,1.9189,2.5940,1.2651,0
jitter1.5,23,0.6433,0.1470,0.5189,0.0000,0.3158,0.3561,1.4190,0.5031,0
jitter3.0,0,0.3959,0.2735,0.6135,0.0000,0.3401,0.2873,1.1273,0.2007,0
jitter3.0,1,2.0074,17.1900,19.1971,0.0000,0.1005,19.2069,26.1983,2.0210,1
jitter3.0,2,1.4331,2.0815,3.5032,0.0000,0.2256,3.5463,10.5822,1.4648,0
jitter3.0,3,401.9633,392.6049,10.2744,1.0000,0.4085,9.6533,21.7126,401.3378,0
jitter3.0,4,603.0881,599.6997,4.0304,0.0000,0.1655,3.9576,-9.1552,603.1041,0
jitter3.0,5,0.1452,3.8979,3.8793,0.0000,0.2508,3.7724,7.3282,0.1518,0
jitter3.0,6,0.6507,0.5360,1.1597,0.0000,0.2377,1.0486,3.5418,0.5138,0
jitter3.0,7,164.6122,166.8394,2.6993,0.0000,0.1300,2.5693,6.4981,164.7191,0
jitter3.0,8,422.0529,422.0874,0.0638,0.0000,0.2002,0.2630,-0.2813,421.9120,0
jitter3.0,9,1.3409,0.4873,1.8237,0.0000,0.4415,1.3909,2.7630,0.9146,0
jitter3.0,10,383.5877,366.3560,25.6424,0.0000,0.3206,25.3224,-33.5942,383.3812,0
jitter3.0,11,109.6021,118.8912,27.6375,0.0000,0.2832,27.4467,38.3331,109.8484,0
jitter3.0,12,17.4633,17.7065,0.6735,0.0000,0.3764,0.3679,0.8328,17.7316,0
jitter3.0,13,1.6501,5.2508,3.6030,0.0000,0.2846,3.8719,-6.0352,1.3791,1
jitter3.0,14,681.4981,682.0399,0.7269,0.0000,0.2759,0.5089,0.6305,681.5819,0
jitter3.0,15,1.9781,1.9054,0.0860,0.0000,0.0860,0.0000,,1.9054,0
jitter3.0,16,816.3440,816.3543,0.0164,0.0000,0.2402,0.2270,-0.3811,816.5747,0
jitter3.0,17,646.2840,646.0402,1.0322,0.0000,0.3000,0.8239,1.1357,646.0432,0
jitter3.0,18,0.0627,10.3688,10.3072,0.0000,0.1655,10.4569,20.9587,0.1206,1
jitter3.0,19,1.1123,1.1288,0.0258,0.0000,0.3206,0.3363,-4.6006,0.7926,0
jitter3.0,20,0.4725,1.0479,0.6726,0.0000,0.2267,0.5008,-0.9646,0.5508,0
jitter3.0,21,146.5068,145.5019,1.2375,0.0000,0.1803,1.1657,-10.7661,146.3463,0
jitter3.0,22,0.4356,0.3145,0.7499,0.0000,0.2202,0.5299,-5.3474,0.2154,0
jitter3.0,23,1.5010,0.5578,1.9975,0.0000,0.4713,1.5426,2.6517,1.0322,0
jitter3.0,24,595.2507,602.7368,8.6119,0.0000,0.7071,8.0973,-23.9681,595.4754,0
jitter3.0,25,268.3097,270.2889,25.3626,0.0000,0.0849,25.3025,-33.4824,268.2518,0
jitter3.0,26,0.5839,8.8836,9.4462,0.0000,0.3401,9.7551,16.9232,0.8718,1
jitter3.0,27,1.2249,0.1263,1.1064,0.0000,0.2802,0.8648,1.7180,0.9882,0
jitter3.0,28,566.2316,572.4661,7.3997,0.0000,0.1552,7.5496,11.6848,566.0836,0
jitter3.0,29,1.4494,7.8877,9.3363,0.0000,0.2617,9.0763,17.0606,1.1908,1

# shift_* are Euclidean movement in search-image px, stage by stage.
# lost_by_refinement: selection was within 5 px of GT, the reported answer was not.
# dev and dev2 are the tuning family - any threshold must be read off those.
