metric,value
split,bench
n_pairs,30
n_failures,5
worst_id,8
worst_error_px,511.68
worst_ambiguity,med
worst_rank_of_truth,16
worst_margin_zncc,0.0228
worst_margin_pct,2.58
candidate_recall_topk,28/30
candidate_recall_pct,93.3
top_k,20
strata_low_n,21
strata_low_mislock_pct,5
strata_low_pass1_pct,95
strata_low_failures,1
strata_med_n,9
strata_med_mislock_pct,44
strata_med_pass1_pct,33
strata_med_failures,4
